ID,response,IL1,IL2,IL3,IL4,CIL1,CIL2,CIL3,CLI4,prime,score1,score2,score3,score4,score5,contact_type,day,hour,device
4550,0,Content,Kindle Unlimited,Payment / Subscription Issues,Subscription Refunded,null,null,null,null,0,0,null,null,null,null,null,0,6,D-8
2851,0,Content,Subscription Apps,Modify Subscription,Cancel With Partial Concession Given,Prime Or Something Else,More non-order questions,Other non-order question,null,1,1.2,null,null,null,null,null,2,21,D-70
184,0,Content,Basic Info / How-To,Basic Navigation,C. Education - Go To Function,null,null,null,null,1,0.275,null,null,null,null,null,1,7,D-28
12102,0,Content,Book Syncing & Download Issues,Shows Completed / Not On Homepage,Resent Content - Fixed Issue,Non-order related,Kindle Fire Device,Other questions about Kindle Fire,null,0,null,null,null,null,null,null,1,18,D-32
6117,0,3rd Party Tv / Video,Netflix,Issues,License Error,Amazon Devices And Kindle Apps,Fire TV,Something else,null,1,0.275,0.270564137,50,0,0,4,3,11,D-45
592,0,Account Assistance / Mycd Settings,Other Account/Mycd Assistance,Mycd Issue,C. Education,null,null,null,null,1,0,null,null,null,null,null,4,12,D-16
13618,1,Content,Kindle Unlimited,Payment / Subscription Issues,Subscription Refunded,Carnac Suggested,Unknown Charge,null,null,0,null,null,null,null,null,null,3,13,D-22
12942,0,Account Assistance,Prime,Subscription / Eligibility,Cancel Prime,null,null,null,null,0,0,null,null,null,null,null,5,13,D-49
4427,0,Content,Personal Documents,Conversion Quality,Delete And Resend - Fixed The Issue,null,null,null,null,1,1.45,0.205320303,0,0,0,0,6,16,D-34
2331,0,Apps / Games,Basic Info / How-To,Install / Uninstall,C. Education - General Info,Prime Or Something Else,Prime Support,Other Prime issue,null,1,0.2,0.1273388,0,0,-1,4,0,17,D-27
11123,0,Kindle Tablet Apps,Amazon Instant Video,Shopping/Purchasing Related,C. Education - Finding Videos,null,null,null,null,1,0.1,0.205320303,0,0,0,0,5,13,D-46
2585,0,Account Assistance / Mycd Settings,Payment Assistance,1-Click Update,Updated 1-Click Cc,null,null,null,null,1,0,null,null,null,null,null,1,15,D-37
2131,0,Content,Kindle Unlimited,Payment / Subscription Issues,Subscription Refunded,null,null,null,null,0,0,null,null,null,null,null,0,8,D-50
10800,0,Content,Kindle Unlimited,Payment / Subscription Issues,Uknown $9.99 Charge -Kindle Unlimted Membership Fee.,null,null,null,null,0,0,null,null,null,null,null,0,11,D-57
10486,0,Kindle E-Ink,Device Freezes / Restarts,Unresponsive / Frozen,Hard Restart - Fixed Issue,null,null,null,null,1,0,0.210158631,0,50,0,0,6,7,D-52
8644,0,Wms / Order Support / Edge-Cases,Open Kindle Order Assistance,Order Status Requested,C. Education - Information Provided,null,null,null,null,1,0,0.308300847,50,0,0,0,3,13,D-22
837,0,Content,Kindle Unlimited,Payment / Subscription Issues,Subscription Refunded,null,null,null,null,1,1.25,null,null,null,null,null,4,17,D-57
5375,0,Fire Tv / Stick,Basic Info / How-To,Device Installation,C. Education - General Info,null,null,null,null,1,0.7,null,null,null,null,null,4,13,D-27
7259,1,Follow-Up Notification,null,null,null,null,null,null,null,1,0.15,null,null,null,null,null,1,16,D-49
7151,0,Content,Book Syncing & Download Issues,Stuck In To Do Queue,Sync And Check - Fixed Issue,Non-order related,Books,Other Questions About Kindle Books,null,1,2,null,null,null,null,null,4,15,D-50
9992,0,Account Assistance / Mycd Settings,Device Registration Assistance,Registering Kindle To Account,Registered Device For Customer,null,null,null,null,1,0,0.165075511,0,0,-1,0,0,14,D-65
40,0,Content,Book Syncing & Download Issues,Shows Completed / Not On Homepage,Resent Content - Fixed Issue,null,null,null,null,1,0.1,0.205320303,25,0,33.33,0,3,21,D-24
11124,0,Account Assistance,Device Registration Assistance,Register Fire Tv To Account,C. Education - Registration Info Provided,Carnac Suggested,Amazon Devices,Fire TV,null,1,null,null,null,null,null,null,5,13,D-27
13075,0,Kindle Tablet Apps,Docs,Create/Edit,C. Education - Storage,null,null,null,null,0,null,0.205320303,0,0,0,0,6,8,D-17
5528,0,Non-Order Related,Unknown Charge,null,null,null,null,null,null,1,0.925,0.205320303,0,0,0,0,1,11,D-70
3207,0,Kindle Tablet Apps,Amazon Music/Your Music Library,Promotion Question,C. Education - Not Valid,null,null,null,null,1,2,0.165075511,0,0,-1,0,1,12,D-56
12578,0,Content,Kindle Unlimited,Payment / Subscription Issues,Subscription Refunded,null,null,null,null,1,0,0.205320303,0,0,0,0,0,15,D-6
12583,0,Content,Other Content Topics,Kindle Serials,Content Not Updated - Updated Content,null,null,null,null,0,0.025,null,null,null,null,null,2,22,D-6
7647,0,Replaced Device,Wireless/Connectivity,Wifi Won'T Connect,Ticket Directed To Replace,Amazon Devices And Kindle Apps,Kindle Fire Tablet,Something else,null,1,0.1,0.268056055,50,0,-1,0,5,9,D-6
1533,0,Kindle Tablet,Lost / Stolen Kindle,Request To Reactivate Recovered Kindle,Verified Ownership - Activated,Amazon Devices And Kindle Apps,Kindle E-reader,I have recovered my lost Kindle,null,1,0.025,0.205320303,0,0,100,0,0,6,D-28
4721,0,Kindle Tablet Apps,Book App,Unable To Open Book,Reregister - Fixed Issue,Amazon Devices And Kindle Apps,Kindle reading apps,null,null,0,null,null,null,null,null,null,1,18,D-37
5793,0,Kindle E-Ink,Wireless Connection Issue Wi-Fi,Customer'S Wi-Fi Connection Was Not Setup,C. Education - Instructions Provided,null,null,null,null,0,null,null,null,null,null,null,2,13,D-44
9575,0,Content,Content Returns / Refunds,Accidental Order,Refunded,Digital Services,Kindle eBooks,Kindle E-reader,Something else,1,0,null,null,null,null,null,4,12,D-9
3473,0,Content,Kindle First,Returning/Cancel Kindle First Book Pre-Order,C. Education - Kindle First Book Return Policy,Digital Services,Kindle eBooks,Kindle reading apps,Something else,1,2,null,null,null,null,null,0,6,D-22
2465,0,Kindle Tablet Apps,Freetime Unlimited,Subscription,Cancel/Reactivate Subscription,Digital Services,Kindle eBooks,Kindle reading apps,Something else,1,0.4,null,null,null,null,null,0,5,D-70
10250,1,Content,Content Returns / Refunds,Accidental Order,Refunded,null,null,null,null,0,0,0.313139175,33.33,33.33,0,0,1,5,D-51
1953,0,Fire Tv / Stick,Basic Info / How-To,Power Off Device,C. Education - General Info,null,null,null,null,1,0.5,0.270564137,60,0,50,4,4,18,D-27
11895,0,Content,Content Returns / Refunds,Accidental Order,Refunded,null,null,null,null,0,0,null,null,null,null,null,4,15,D-70
409,0,Kindle Tablet,Battery / Charging Issue,Kindle Won'T Charge,Asked Customer To Call,Non-order related,Fire Device,Charging or Battery Issues,null,0,0,null,null,null,null,null,1,10,D-53
6013,0,Reading App,Basic Info / How-To,Basic Navigation,null,null,null,null,null,0,0,0.621632447,66.66,16.66,0,0,3,12,D-14
9390,0,Kindle Tablet Apps,E-Mail/Contacts App,E-Mail Setup,Referred To Isp For Settings,null,null,null,null,1,0,0.165075511,0,0,-1,0,0,13,D-50
3131,1,Fire Tv / Stick Pre Purchase Info,Fire Tv Stick,General Questions,null,null,null,null,null,0,0,null,null,null,null,null,4,1,D-70
8714,0,Kindle E-Ink,Basic Info / How-To,Basic Navigation,C. Education - Language Selector,Amazon Devices And Kindle Apps,Kindle E-reader,Something else,null,1,0.3,0.205320303,0,0,0,0,6,15,D-28
6806,0,Kindle E-Ink,Not Able To Update Software,Already Has The Update,null,null,null,null,null,1,0,null,null,null,null,null,3,17,D-70
1416,0,Kindle Tablet,Wireless Connection  Wi-Fi,How To Setup Wi-Fi,C. Education - Connection Setup,null,null,null,null,0,0.6,null,null,null,null,null,2,19,D-17
3777,0,Kindle Tablet Apps,App Store,Unable To Open App,Cleared Data - Appstore,null,null,null,null,1,0,0.313139175,33.33,33.33,0,0,5,15,D-16
11052,1,Content,Kindle Unlimited,Payment / Subscription Issues,Subscription Refunded,null,null,null,null,1,1.5,null,null,null,null,null,2,20,D-49
13110,1,Fire Tv / Stick,Software Issue,Video / Tv Issues,Not Working - Tt Filed,null,null,null,null,0,null,null,null,null,null,null,6,12,D-45
7767,0,Content,Book Syncing & Download Issues,Shows Completed / Not On Homepage,Info Requested / Instructions Sent,null,null,null,null,1,2,0.308300847,33.33,0,0,0,4,17,D-52
13902,1,Kindle Tablet,Device Freezes / Restarts,Unresponsive / Frozen,Restart - Fixed Issue,null,null,null,null,0,null,null,null,null,null,null,6,6,D-28
6262,0,Account Assistance / Mycd Settings,Other Account/Mycd Assistance,Mycd Issue,C. Education,Prime Or Something Else,More non-order questions,Other non-order question,null,1,0.2,null,null,null,null,null,4,8,D-70
13744,0,Content,Content Returns / Refunds,Accidental Order,Refunded,null,null,null,null,1,0,null,null,null,null,null,5,18,D-57
6168,0,Kindle Tablet Apps,App Store,Your Apps Library Questions,C. Education - Search,null,null,null,null,1,2,null,null,null,null,null,3,6,D-52
10270,0,Fire Tv / Stick,Hardware Issue,Device Overheating,Troubleshooting Resolved Issue,null,null,null,null,1,1.05,0.1273388,0,0,-1,4,3,10,D-45
8017,0,Account Assistance / Mycd Settings,Device Registration Assistance,Registering Kindle To Account,Re-Register Kindle To New User,Amazon Devices And Kindle Apps,Kindle reading apps,Something else,null,0,0,0.621632447,75,0,0,0,6,12,D-34
13083,0,Content,Book Syncing & Download Issues,Shows Completed / Not On Homepage,Hard Restart - Fixed Issue,null,null,null,null,1,null,null,null,null,null,null,3,14,D-70
1161,0,Amazon Instant Video,Movies / Tv Issues,Video Library,Cleared Data - Resolved Issue,null,null,null,null,1,0,null,null,null,null,null,6,9,D-10
7063,0,Content,Kindle Unlimited,C. Education,Updated Payment Method,null,null,null,null,1,0,null,null,null,null,null,5,8,D-29
10204,1,Accessory,Other Accessory,Promotion For Power Fast Adapter,null,null,null,null,null,1,0.2,null,null,null,null,null,6,13,D-1
8657,0,Account Assistance / Mycd Settings,Payment Assistance,1-Click Update,Updated 1-Click Cc,null,null,null,null,0,0,null,null,null,null,null,0,7,D-64
1880,0,Content,Book Purchase / Availability,Payment Issue,Updated Cc & Billing Addr.,null,null,null,null,0,0,null,null,null,null,null,0,13,D-29
12687,0,Kindle Tablet,Software Update,C. Education - Instructions Provided,null,null,null,null,null,0,0.05,0.210158631,0,33.33,0,0,6,14,D-16
6099,0,Wms / Order Support / Edge-Cases,Charge Related Inquiries,Unknown Charge,Filed Unknowncharge Inquiry,null,null,null,null,0,0,0.626470775,75,25,0,0,1,15,D-70
9201,0,Content,Book Syncing & Download Issues,Missing From Cloud/Archived Items,C. Education - Items Not Purchased On Account,null,null,null,null,0,0,null,null,null,null,null,3,11,D-37
7983,0,Kindle Tablet,Accessibility,C. Education - Screen Magnifier / Large Font,null,null,null,null,null,0,0,0.169913838,0,33.33,-1,0,6,10,D-16
261,0,Kindle E-Ink,Basic Info / How-To,Basic Navigation,C. Education - Settings Button,null,null,null,null,1,0.025,null,null,null,null,null,5,10,D-70
1458,0,Content,Book Syncing & Download Issues,Whispersync/Immersion Reading Not Syncing,Resent Content - Fixed Issue,null,null,null,null,1,1.1,0.165075511,0,0,-1,0,2,6,D-44
12641,0,Content,Kindle Unlimited,Payment / Subscription Issues,Subscription Refunded,null,null,null,null,0,null,null,null,null,null,null,3,5,D-57
5573,0,Content,Book Purchase / Availability,General Promotion Question / Issue,Issued Promo For Expired Code,Order Related,Wheres my stuff?,Tracking shows delivered but shipment not received,null,1,2,null,null,null,null,null,4,9,D-29
4295,0,Account Assistance / Mycd Settings,Device Registration Assistance,Registering Kindle To Account,C. Education - Registration Info Provided,null,null,null,null,0,0,null,null,null,null,null,3,18,D-17
4384,0,Non-Order Related,Account Settings,Close My Account,null,null,null,null,null,1,0,null,null,null,null,null,6,15,D-70
2957,0,Content,Content Returns / Refunds,Accidental Order,Refunded,Digital Services,Kindle eBooks,Kindle reading apps,Return a Kindle Book,1,0.025,null,null,null,null,null,0,18,D-70
2703,0,Content,Content Returns / Refunds,Accidental Order,Prime Owners Lending Library - Refunded,null,null,null,null,0,0,0.214241638,0,100,-1,0,6,11,D-11
9971,0,Account Assistance / Mycd Settings,Other Account/Mycd Assistance,Other Account Maintenance,Cs Action Taken,Digital Services,Kindle eBooks,Kindle reading apps,Problems downloading content,1,2,0.165075511,0,0,-1,0,3,7,D-70
4920,0,Content,Content Returns / Refunds,Accidental Order,Refunded,null,null,null,null,1,2,null,null,null,null,null,3,11,D-57
11555,0,Content,Content Quality,Poor Quality,Info Requested / Instructions Sent,Carnac Suggested,Something else,Other issues,null,1,0,0.308300847,50,0,0,0,3,14,D-17
5167,1,Fire Tv Remote,Basic Info / How-To,Pair,C. Education - Pair,null,null,null,null,1,0,0.385479383,100,100,-1,4,4,9,D-49
3557,0,Content,Content Returns / Refunds,Accidental Order,Refunded,Carnac Suggested,Amazon Devices,Kindle E-reader,null,1,1,null,null,null,null,null,4,15,D-70
11279,0,Content,Kindle Unlimited,Payment / Subscription Issues,Subscription Refunded,Digital Services,Digital Subscription,Kindle Unlimited,null,1,0.05,null,null,null,null,null,1,13,D-22
982,0,Kindle E-Ink,Device Return,Other Reasons,Processed Return,null,null,null,null,0,2,0.463460886,100,100,0,0,3,12,D-22
9240,0,Kindle Tablet,Device Freezes / Restarts,Restart Loop,Asked Customer To Call,null,null,null,null,1,0.45,0.419133087,100,33.33,0,0,1,13,D-17
9284,0,Content,Content Quality,Corrupt - Won'T Open,Hard Restart - Fixed Issue,null,null,null,null,0,0,0.165075511,0,0,-1,0,5,20,D-16
9573,0,Account Assistance / Mycd Settings,Device Registration Assistance,Registering Kindle To Account,Registered Device For Customer,null,null,null,null,0,0.075,0.374049967,100,0,-1,0,5,15,D-28
6559,0,Kindle Tablet,Basic Info / How-To,Basic Navigation,C. Education - Home Button,null,null,null,null,0,0,null,null,null,null,null,4,13,D-55
9986,0,Wms / Order Support / Edge-Cases,Charge Related Inquiries,Unknown Charge,C. Education - Identified Order,null,null,null,null,0,null,null,null,null,null,null,3,13,D-44
5486,0,Kindle Tablet,Wireless Connection  Wi-Fi,Won'T Connect To Network,Restart - Fixed Issue,Amazon Devices And Kindle Apps,Kindle Fire Tablet,Something else,null,0,0,null,null,null,null,null,1,10,D-31
9102,1,Content,Basic Info / How-To,Basic Navigation,C. Education - Archived Download To Home,null,null,null,null,1,0,0.165075511,0,0,-1,0,4,9,D-70
4102,1,Fire Tv / Stick,Basic Info / How-To,Remote Compatibility,C. Education,null,null,null,null,1,2,0.132177128,0,50,-1,4,0,11,D-49
2963,0,Content,Book Purchase / Availability,Purchase Content,C. Education - From Website / Detail Page,null,null,null,null,1,0.4,null,null,null,null,null,5,19,D-56
3837,0,Content,Kindle Unlimited,Payment / Subscription Issues,Subscription Refunded,null,null,null,null,1,2,null,null,null,null,null,0,6,D-22
7591,0,Account Assistance / Mycd Settings,Device Registration Assistance,Registering Kindle To Account,C. Education - Registration Info Provided,null,null,null,null,1,0,null,null,null,null,null,0,7,D-31
12497,0,Kindle Tablet,Basic Info / How-To,"Households, Profiles, And Family Library",C. Education - Set Up,Carnac Suggested,Something else,Other issues,null,0,0.725,0.210158631,0,50,0,0,0,18,D-16
6377,0,Replaced Device,Wireless/Connectivity,Wifi Won'T Connect,Ticket Directed To Replace,null,null,null,null,0,null,null,null,null,null,null,1,14,D-70
6330,0,Content,Kindle Unlimited,Payment / Subscription Issues,Subscription Refunded,null,null,null,null,0,null,null,null,null,null,null,2,7,D-62
4629,0,Replaced Device,Software Issue,Unable To Update Device,Ticket Directed To Replace,null,null,null,null,1,0,0.308300847,33.33,0,0,0,0,15,D-28
5755,0,Content,Subscription Apps,Modify Subscription,Cancel With Full Concession Given,null,null,null,null,0,0,0.17242192,0,50,0,4,0,18,D-27
11991,0,Replaced Device,Tv Display,Blank,Ticket Directed To Replace,null,null,null,null,1,0,0.235157672,50,50,-1,4,1,9,D-27
3232,0,Kindle E-Ink,Basic Info / How-To,Question On New Device Features,null,null,null,null,null,1,0.75,0.205320303,0,0,0,0,2,16,D-28
5802,0,Kindle Tablet,Basic Info / How-To,Parental Controls,C. Education -  General Questions,null,null,null,null,0,0,0.414294759,100,0,0,0,2,13,D-17
1037,0,Account Assistance / Mycd Settings,Payment Assistance,1-Click Update,Updated 1-Click Cc,null,null,null,null,1,0,null,null,null,null,null,1,7,D-51
7319,0,Freetime,Freetime Unlimited / Subscription,Cancel/Reactivate Subscription,null,null,null,null,null,0,0,null,null,null,null,null,4,8,D-29
2697,0,Kindle Tablet,Accessibility,C. Education - Turn Off Accessibility Features,null,null,null,null,null,1,0,null,null,null,null,null,6,14,D-37
4608,0,Kindle Tablet,Wireless Connection  Wi-Fi,Won'T Connect To Network,Restart - Fixed Issue,null,null,null,null,1,2,0.205320303,0,0,0,0,0,8,D-20
1999,0,Account Assistance / Mycd Settings,Payment Assistance,1-Click Update,Updated 1-Click Cc,null,null,null,null,0,0,null,null,null,null,null,2,10,D-31
8502,0,Account Assistance,Payment Assistance,1-Click Update,Updated 1-Click Cc,null,null,null,null,1,0,null,null,null,null,null,5,12,D-45
8010,0,Kindle E-Ink,Not Able To Update Software,Already Has The Update,null,null,null,null,null,1,2,0.308300847,52.17,13.04,0,0,2,11,D-17
7971,1,Kindle Tablet,Device Return,Did Not Meet Expectations,Processed Return,null,null,null,null,1,0.1,0.621632447,73.07,7.69,55.55,0,4,10,D-52
10025,0,Content,Kindle Unlimited,Payment / Subscription Issues,Subscription Refunded,null,null,null,null,0,0,0.214241638,0,100,-1,0,6,7,D-70
12115,0,Kindle Tablet,Lost / Stolen Kindle,Request To Reactivate Recovered Kindle,Verified Ownership - Activated,null,null,null,null,0,0,0.205320303,0,0,0,0,6,14,D-52
1096,0,Content,Book Syncing & Download Issues,Shows Completed / Not On Homepage,Resent Content - Fixed Issue,null,null,null,null,1,0.35,null,null,null,null,null,4,7,D-9
10951,0,Content,Kindle Unlimited,Payment / Subscription Issues,How To Cancel,null,null,null,null,0,0,null,null,null,null,null,0,14,D-70
10434,0,Content,Kindle Unlimited,Payment / Subscription Issues,How To Cancel,Digital Services,Kindle eBooks,Kindle Fire Tablet,Something else,1,null,null,null,null,null,null,2,8,D-44
12443,0,Amazon Instant Video,Content,Video Subscription,C.Education,Carnac Suggested,Amazon Devices,Fire TV,null,1,0.1,null,null,null,null,null,4,17,D-49
12321,0,Fire Tv Remote,Fire Tv Remote Issues,Battery,Instructions Sent / Asked Customer To Call,null,null,null,null,1,0.7,0.270564137,42.85,14.28,0,4,5,13,D-49
10866,1,Kindle Tablet,Basic Info / How-To,Sd Card,C. Education - How-To,null,null,null,null,0,0,null,null,null,null,null,5,16,D-70
9651,0,Content,Collections,Cloud Collections,C. Education - General,null,null,null,null,1,0,null,null,null,null,null,0,14,D-29
4621,0,Content,Basic Info / How-To,Basic Navigation,C. Education - Page Flip,null,null,null,null,1,0.1,null,null,null,null,null,3,15,D-28
13666,0,Non-Order Related,Amazon Wallet,Mobile App Issue,Other Issue,null,null,null,null,0,null,0.621632447,80,8,50,0,3,21,D-70
3776,0,Content,Book Syncing & Download Issues,Shows Completed / Not On Homepage,Resent Content - Fixed Issue,Digital Services,Kindle eBooks,Kindle reading apps,Problems downloading content,1,2,null,null,null,null,null,6,7,D-70
127,1,Apps / Games,Apps / Games Issues,Update,Instructions Sent / Asked Customer To Call,null,null,null,null,1,0,0.336313256,100,0,-1,4,2,21,D-27
9988,0,Kindle Tablet,Basic Info / How-To,Storage /  Space,C. Education - How To,null,null,null,null,1,0.15,0.205320303,0,0,0,0,5,8,D-5
13194,0,Content,Kindle Unlimited,C. Education,General Info,Digital Services,Digital Subscription,Kindle Unlimited,null,0,0,null,null,null,null,null,5,23,D-57
12205,0,Content,Kindle Unlimited,C. Education,General Info,null,null,null,null,0,null,null,null,null,null,null,3,13,D-46
6616,0,Kindle Tablet,Alexa On Tablet,Basic Info / How-To,Command & Control,null,null,null,null,1,0,null,null,null,null,null,0,15,D-16
6311,0,Content,Content Returns / Refunds,Accidental Order,Refunded,null,null,null,null,0,0,0.165075511,0,0,-1,0,1,10,D-37
6720,0,Account Assistance / Mycd Settings,Prime,Share Prime Membership,null,null,null,null,null,1,2,null,null,null,null,null,3,5,D-4
10456,0,Account Assistance / Mycd Settings,Payment Assistance,1-Click Update,Updated 1-Click Cc,null,null,null,null,0,0,null,null,null,null,null,6,13,D-28
6717,0,Kindle Tablet Apps,Freetime Unlimited,Subscription,Cancel/Reactivate Subscription,Carnac Suggested,Something else,Subscribe With Amazon Subscriptions,null,1,0.75,null,null,null,null,null,1,7,D-37
13855,0,Account Assistance / Mycd Settings,Other Account/Mycd Assistance,Other Account Maintenance,C. Education,null,null,null,null,1,null,null,null,null,null,null,2,18,D-16
7800,0,Wms / Order Support / Edge-Cases,Charge Related Inquiries,Unknown Charge,C. Education - Identified Order,null,null,null,null,1,0.3,null,null,null,null,null,2,14,D-28
1803,0,Content,Book Syncing & Download Issues,Missing From Cloud/Archived Items,C. Education - No Coverage/Network Available,null,null,null,null,1,0,null,null,null,null,null,4,8,D-17
5838,0,Content,Book Syncing & Download Issues,Shows Completed / Not On Homepage,Resent Content - Fixed Issue,null,null,null,null,0,null,0.374049967,100,0,-1,0,3,13,D-31
13799,0,Kindle Tablet Apps,App Store,Content,C. Education - App Basic Help/How-To,null,null,null,null,0,null,null,null,null,null,null,6,7,D-16
12756,0,Replaced Device,Screen,Crack On Surface,Customer Dropped,null,null,null,null,1,0,0.169913838,0,50,-1,0,2,11,D-16
7717,0,Fire Tv / Stick,System Settings,System,C. Education - About,Carnac Suggested,Something else,Other issues,null,0,0.1,0.1273388,0,0,-1,4,5,8,D-49
6824,0,Content,Periodicals & Newsstand,Cancelling Trial Or Subscription,Cancelled Subscription,Carnac Suggested,Unknown Charge,null,null,0,1.2,null,null,null,null,null,0,7,D-70
6187,0,Content,Kindle Unlimited,C. Education,Updated Payment Method,null,null,null,null,1,0,null,null,null,null,null,0,14,D-70
6371,0,Content,Content Returns / Refunds,Accidental Order,Refunded,null,null,null,null,1,0.325,0.313139175,33.33,33.33,0,0,1,7,D-29
3849,1,Replaced Device,Screen,Crack On Surface,Customer Dropped,null,null,null,null,0,0,0.308300847,33.33,0,0,0,3,11,D-67
1198,0,Content,Book Syncing & Download Issues,Shows Completed / Not On Homepage,Resent Content - Fixed Issue,null,null,null,null,0,0,0.210158631,0,20,0,0,1,12,D-28
3708,0,Content,Basic Info / How-To,Basic Navigation,C. Education - Annotations Export,null,null,null,null,1,0.825,null,null,null,null,null,3,14,D-16
9870,0,Kindle E-Ink,Wireless Connection Issue Wi-Fi,Password Issue,C. Education - Passphrase = Wrong,null,null,null,null,1,0.2,null,null,null,null,null,5,9,D-6
10051,0,Account Assistance / Mycd Settings,Prime,Cancel Prime Membership,null,null,null,null,null,0,0,null,null,null,null,null,1,10,D-29
12584,0,Kindle Tablet Apps,Silk - Web Browser,Silk Application Problems,Clear Data - Fixed Issue,null,null,null,null,1,0,null,null,null,null,null,2,13,D-62
